,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"週間献立表",,,,,,,,,,,,,,,,,,,,,,
,"平成27年9月20日(日)～平成27年9月26日(土)",,,,,,,,,,,,,,,,,,,,,,
,"区分","9/20(日)",,,"9/21(月)",,,"9/22(火)",,,"9/23(水)",,,"9/24(木)",,,"9/25(金)",,,"9/26(土)",,," "
,"朝食","味噌汁",,"24KC","五目汁",,"46KC","味噌汁",,"26KC","すまし汁",,"20KC","味噌汁",,"28KC","クロワッサン",,"378KC","味噌汁",,"34KC"," "
,,"牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC"," "
,,"納豆",,"60KC","鮭の塩焼き",,"71KC","味付け肉団子",,"114KC","納豆",,"60KC","納豆",,"60KC","巣ごもり卵",,"138KC","卵ロール",,"76KC"," "
,,"菜の花と卵のソテー",,"102KC","小松菜の海苔和え",,"37KC","炒り豆腐",,"172KC","ししゃも",,"50KC","卵とじ",,"96KC","チキンナゲット",,"208KC","野菜ソテー",,"84KC"," "
,,"味付のり",,"14KC","ふりかけ",,"15KC","味付のり",,"14KC","五目味噌煮",,"71KC","味付のり",,"14KC","コールスロー",,"15KC","きゃらぶき",,"10KC"," "
,,"漬物",,"1KC","梅干し",,"1KC","漬物",,"1KC","ふりかけ",,"15KC","漬物",,"1KC","ポタージュスープ",,"75KC","のり佃煮",,"14KC"," "
,,"ご飯",,"427KC","ご飯",,"427KC","ご飯",,"427KC","漬物",,"1KC","ご飯",,"427KC"," ",,,"ご飯",,"427KC"," "
,," ",,," ",,,,,,"ご飯",,"427KC"," ",,," ",,," ",,," "
,,"762KC た30 脂20 炭114 塩2.7",,,"731KC た31 脂14 炭117 塩2.6",,,"888KC た33 脂25 炭132 塩3.8",,,"778KC た32 脂17 炭119 塩3.7",,,"761KC た31 脂17 炭120 塩2.8",,,"947KC た42 脂50 炭79 塩4.1",,,"780KC た28 脂21 炭120 塩3.3",,," "
,,,,,,,,,,,"カレーフェアー",,,,,,,,,,,,
,"昼食","そば飯",,"627KC","二色そぼろ丼",,"800KC","ホイコーロー",,"250KC","ポークトマトカレー",,"736KC","ビビンバ",,"954KC","選択ラーメン",,"439KC","鶏肉のクリーム煮",,"354KC"," "
,,"ギョーザ",,"202KC","揚げ物",,"268KC","かに玉",,"176KC","福神漬",,"14KC","ほうれん草のおかか和え",,"32KC","春巻き",,"224KC","豆腐サラダ",,"62KC"," "
,,"ナムル",,"60KC","コールスローサラダ",,"21KC","春雨サラダ",,"105KC","牛乳",,"134KC","プリン",,"126KC","果物（りんご）",,"28KC","フルーツヨーグルト",,"110KC"," "
,,"スープ",,"13KC","果物",,"19KC","すまし汁",,"10KC","コールスロー",,"22KC","すまし汁",,"9KC","小松菜とザーサイ和え",,"23KC","スープ",,"14KC"," "
,," ",,,"すまし汁",,"6KC","ご飯",,"427KC","スライスチーズ",,"68KC"," ",,,"ご飯",,"249KC","ご飯",,"427KC"," "
,,,,," ",,,,,,"イチゴゼリー",,"56KC"," ",,," ",,," ",,," "
,,,,,,,,,,,,,," ",,," ",,," ",,," "
,,"902KC た26 脂25 炭138 塩4.1",,,"1113KC た40 脂33 炭156 塩3.6",,,"968KC た44 脂30 炭126 塩5.6",,,"1030KC た32 脂25 炭165 塩3.5",,,"1121KC た36 脂29 炭170 塩4.7",,,"963KC た31 脂24 炭150 塩6.2",,,"967KC た40 脂24 炭144 塩3.8",,," "
,,,,,,,,,,,"ビストロメニュー",,,"お月見メニュー",,,"ビストロメニュー",,,,,,
,"夕食","鶏の照り焼き香味ソース",,"296KC","鮭のムニエルタルタルソース",,"491KC","豚肉のしぐれ煮",,"358KC","白身魚とスービーズ焼",,"342KC","和風ハンバーグ",,"285KC","ポークソテーカレーデミソース",,"398KC","塩だれ焼肉",,"277KC"," "
,,"八宝菜",,"115KC","糸コンと山くらげ和え",,"43KC","大根とシーチキンのサラダ",,"94KC","和風きのこスパゲッティー",,"100KC","ミートエッググラタン",,"327KC","カットサラダ",,"30KC","肉団子の炒り煮",,"186KC"," "
,,"スパゲッティサラダ",,"162KC","大根と牛肉の煮物",,"79KC","クラッシュゼリー",,"257KC","ブロッコリーとエビのサラダ",,"109KC","かぼちゃのサラダ",,"126KC","豆腐の野菜スープ煮",,"66KC","いかの酢の物",,"65KC"," "
,,"フルーツヨーグルト",,"108KC","味噌汁",,"30KC","味噌汁",,"27KC","ロールキャベツ",,"115KC","フルーツ白玉あんみつ",,"174KC","味噌汁",,"40KC","味噌汁",,"37KC"," "
,,"大根と揚げの味噌汁",,"37KC","ご飯",,"427KC","ご飯",,"427KC","中華スープ",,"12KC","すまし汁",,"7KC","ご飯",,"427KC","ご飯",,"427KC"," "
,,"ご飯",,"427KC"," ",,," ",,,"ご飯",,"427KC","ご飯",,"427KC",,,," ",,," "
,," ",,,,,,,,,,,,,,," ",,," ",,," "
,,"1144KC た67 脂29 炭146 塩4.1",,,"1070KC た42 脂30 炭154 塩4.9",,,"1163KC た39 脂39 炭159 塩3.4",,,"1105KC た39 脂33 炭158 塩6.5",,,"1346KC た49 脂37 炭199 塩5.9",,,"960KC た31 脂31 炭131 塩3.1",,,"992KC た45 脂25 炭145 塩5.7",,," "
,"合計","2808KC た124 脂74 炭398 塩10.9",,,"2914KC た113 脂77 炭426 塩11.1",,,"3019KC た116 脂93 炭417 塩12.8",,,"2913KC た103 脂75 炭441 塩13.7",,,"3228KC た116 脂83 炭489 塩13.4",,,"2870KC た104 脂106 炭359 塩13.4",,,"2739KC た113 脂69 炭409 塩12.8",,," "
,,,,,,,,,,,,,,,,,,,,,,," "
